MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.1,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.1,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.1,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.7,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.7,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.7,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,5,,,
ClassicGumtree,6,6,2,2,2,0,0,0,5,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,21,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,21,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,21,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,20,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4050,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4057,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4038,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4051,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,74,34,36,36,2,0,0,0,5,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,600,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,700,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,800,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,900,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1000,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1100,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1200,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1300,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1400,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1500,,,,,2,,,
ClassicGumtree,6,4,2,2,2,0,0,0,20,3,0,0.1,,1600,,,,,2,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4055,3,0,0.1,,1700,,,,,2,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4052,3,0,0.1,,1800,,,,,2,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4054,3,0,0.1,,1900,,,,,2,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4046,3,0,0.1,,2000,,,,,2,,,
ClassicGumtree,447,77,223,223,1,0,0,0,4,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,400,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,500,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,600,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,700,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,800,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,900,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,1000,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,1100,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,1200,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,19,3,0,0.1,,1300,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,20,3,0,0.1,,1400,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,34,3,0,0.1,,1500,,,,,3,,,
ClassicGumtree,332,42,165,165,2,0,0,0,35,3,0,0.1,,1600,,,,,3,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4035,3,0,0.1,,1700,,,,,3,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4039,3,0,0.1,,1800,,,,,3,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4047,3,0,0.1,,1900,,,,,3,,,
ClassicGumtree,2,2,0,0,2,0,0,0,4042,3,0,0.1,,2000,,,,,3,,,
ClassicGumtree,623,87,311,311,1,0,0,0,4,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,494,50,246,246,2,0,0,0,20,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,494,50,246,246,2,0,0,0,20,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,494,50,246,246,2,0,0,0,18,3,0,0.1,,400,,,,,4,,,
ClassicGumtree,494,50,246,246,2,0,0,0,19,3,0,0.1,,500,,,,,4,,,
ClassicGumtree,494,50,246,246,2,0,0,0,19,3,0,0.1,,600,,,,,4,,,
