MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,42,35,2,9,27,4,0,0,4,2,0,,0.1,,,,,,1,,,
SimpleGumtree,176,19,78,85,11,2,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.1,,,,,,4,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,42,35,2,9,27,4,0,0,4,2,0,,0.3,,,,,,1,,,
SimpleGumtree,176,19,78,85,11,2,0,0,4,2,0,,0.3,,,,,,2,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.3,,,,,,4,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,42,35,2,9,27,4,0,0,4,2,0,,0.5,,,,,,1,,,
SimpleGumtree,176,19,78,85,11,2,0,0,3,2,0,,0.5,,,,,,2,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.5,,,,,,4,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,42,35,2,9,27,4,0,0,4,2,0,,0.7,,,,,,1,,,
SimpleGumtree,176,19,78,85,11,2,0,0,4,2,0,,0.7,,,,,,2,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.7,,,,,,3,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.7,,,,,,4,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,42,35,2,9,27,4,0,0,4,2,0,,0.899,,,,,,1,,,
SimpleGumtree,176,19,78,85,11,2,0,0,3,2,0,,0.899,,,,,,2,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,49,30,8,15,25,1,0,0,3,2,0,,0.899,,,,,,4,,,
SimpleGumtree,49,30,8,15,25,1,0,0,2,2,0,,0.899,,,,,,5,,,
ClassicGumtree,39,32,2,9,27,1,0,0,52,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,178,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,500,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,600,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,174,3,0,0.1,,700,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,800,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,900,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,119,3,0,0.1,,1000,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,123,3,0,0.1,,1100,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3080,3,0,0.1,,1200,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3080,3,0,0.1,,1300,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3076,3,0,0.1,,1400,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3080,3,0,0.1,,1500,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3078,3,0,0.1,,1600,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3076,3,0,0.1,,1700,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3078,3,0,0.1,,1800,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3064,3,0,0.1,,1900,,,,,1,,,
ClassicGumtree,35,31,0,7,27,1,0,0,3067,3,0,0.1,,2000,,,,,1,,,
ClassicGumtree,198,28,89,96,11,2,0,0,20,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,166,20,73,80,11,2,0,0,86,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,166,20,73,80,11,2,0,0,87,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,166,20,73,80,11,2,0,0,86,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,166,20,73,80,11,2,0,0,86,3,0,0.1,,500,,,,,2,,,
ClassicGumtree,166,20,73,80,11,2,0,0,87,3,0,0.1,,600,,,,,2,,,
