MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.1,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.3,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.5,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.7,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.899,,,,,,1,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.1,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.3,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.5,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.7,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.899,,,,,,2,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.1,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.3,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.5,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.7,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.899,,,,,,3,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.1,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.3,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,5,2,0,,0.5,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,6,2,0,,0.7,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.899,,,,,,4,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.1,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.3,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,4,2,0,,0.5,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,2,2,0,0,2,0,0,0,3,2,0,,0.899,,,,,,5,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,7,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,57,49,5,5,1,46,0,0,5,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,10,6,4,4,2,0,0,0,10,3,0,0.1,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.2,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,5,3,0,0.3,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,5,3,0,0.4,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.5,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,10,3,0,0.6,,100,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,9,3,0,0.7,,100,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,4,3,0,0.799,,100,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,4,3,0,0.899,,100,,,,,2,,,
ClassicGumtree,87,43,23,23,0,41,0,0,4,3,0,0.999,,100,,,,,2,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.1,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.2,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.3,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,5,3,0,0.4,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.5,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.6,,100,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.7,,100,,,,,3,,,
ClassicGumtree,335,59,165,165,0,5,0,0,4,3,0,0.799,,100,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,3,3,0,0.899,,100,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,3,3,0,0.999,,100,,,,,3,,,
ClassicGumtree,352,58,175,175,2,0,0,0,6,3,0,0.1,,100,,,,,4,,,
ClassicGumtree,352,58,175,175,2,0,0,0,6,3,0,0.2,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.3,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,5,3,0,0.4,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,3,3,0,0.5,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.6,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,3,3,0,0.7,,100,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,2,3,0,0.799,,100,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,3,3,0,0.899,,100,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,3,3,0,0.999,,100,,,,,4,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.1,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,3,3,0,0.2,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.3,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.4,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.5,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.6,,100,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,5,3,0,0.7,,100,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.799,,100,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.899,,100,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.999,,100,,,,,5,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,57,49,5,5,1,46,0,0,5,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.1,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,10,3,0,0.2,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.3,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,5,3,0,0.4,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.5,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.6,,200,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,9,3,0,0.7,,200,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,4,3,0,0.799,,200,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,4,3,0,0.899,,200,,,,,2,,,
ClassicGumtree,87,43,23,23,0,41,0,0,4,3,0,0.999,,200,,,,,2,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.1,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.2,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.3,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,5,3,0,0.4,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,11,3,0,0.5,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.6,,200,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.7,,200,,,,,3,,,
ClassicGumtree,335,59,165,165,0,5,0,0,2,3,0,0.799,,200,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,4,3,0,0.899,,200,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,3,3,0,0.999,,200,,,,,3,,,
ClassicGumtree,352,58,175,175,2,0,0,0,6,3,0,0.1,,200,,,,,4,,,
ClassicGumtree,352,58,175,175,2,0,0,0,5,3,0,0.2,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,2,3,0,0.3,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,5,3,0,0.4,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.5,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,2,3,0,0.6,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,3,3,0,0.7,,200,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,5,3,0,0.799,,200,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,3,3,0,0.899,,200,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,4,3,0,0.999,,200,,,,,4,,,
ClassicGumtree,530,62,265,265,0,0,0,0,3,3,0,0.1,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,3,3,0,0.2,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,3,3,0,0.3,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,5,3,0,0.4,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.5,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.6,,200,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.7,,200,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,4,3,0,0.799,,200,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.899,,200,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.999,,200,,,,,5,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,11,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,5,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,57,49,5,5,1,46,0,0,5,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,10,6,4,4,2,0,0,0,5,3,0,0.1,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.2,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.3,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,10,3,0,0.4,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.5,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,10,3,0,0.6,,300,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.7,,300,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,2,3,0,0.799,,300,,,,,2,,,
ClassicGumtree,49,11,22,22,0,5,0,0,4,3,0,0.899,,300,,,,,2,,,
ClassicGumtree,87,43,23,23,0,41,0,0,4,3,0,0.999,,300,,,,,2,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.1,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.2,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.3,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.4,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,6,3,0,0.5,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.6,,300,,,,,3,,,
ClassicGumtree,296,54,147,147,2,0,0,0,10,3,0,0.7,,300,,,,,3,,,
ClassicGumtree,335,59,165,165,0,5,0,0,2,3,0,0.799,,300,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,4,3,0,0.899,,300,,,,,3,,,
ClassicGumtree,349,19,166,166,0,17,0,0,3,3,0,0.999,,300,,,,,3,,,
ClassicGumtree,352,58,175,175,2,0,0,0,5,3,0,0.1,,300,,,,,4,,,
ClassicGumtree,352,58,175,175,2,0,0,0,6,3,0,0.2,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,3,3,0,0.3,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.4,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.5,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,3,3,0,0.6,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,5,3,0,0.7,,300,,,,,4,,,
ClassicGumtree,455,59,227,227,0,1,0,0,4,3,0,0.799,,300,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,3,3,0,0.899,,300,,,,,4,,,
ClassicGumtree,467,13,228,228,0,11,0,0,3,3,0,0.999,,300,,,,,4,,,
ClassicGumtree,530,62,265,265,0,0,0,0,3,3,0,0.1,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.2,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,2,3,0,0.3,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,2,3,0,0.4,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.5,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,5,3,0,0.6,,300,,,,,5,,,
ClassicGumtree,530,62,265,265,0,0,0,0,4,3,0,0.7,,300,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,4,3,0,0.799,,300,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,4,3,0,0.899,,300,,,,,5,,,
ClassicGumtree,540,10,266,266,0,8,0,0,3,3,0,0.999,,300,,,,,5,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,6,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,5,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,2,2,0,0,2,0,0,0,10,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,57,49,5,5,1,46,0,0,5,3,0,0.999,,400,,,,,1,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.1,,400,,,,,2,,,
ClassicGumtree,10,6,4,4,2,0,0,0,6,3,0,0.2,,400,,,,,2,,,
