MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,60,20,45,10,0,5,0,0,5,2,0,,0.1,,,,,,1,,,
SimpleGumtree,60,20,45,10,0,5,0,0,5,2,0,,0.3,,,,,,1,,,
SimpleGumtree,60,20,45,10,0,5,0,0,5,2,0,,0.5,,,,,,1,,,
SimpleGumtree,60,20,45,10,0,5,0,0,6,2,0,,0.7,,,,,,1,,,
SimpleGumtree,60,20,45,10,0,5,0,0,5,2,0,,0.899,,,,,,1,,,
SimpleGumtree,65,19,48,13,0,4,0,0,4,2,0,,0.1,,,,,,2,,,
SimpleGumtree,65,19,48,13,0,4,0,0,5,2,0,,0.3,,,,,,2,,,
SimpleGumtree,65,19,48,13,0,4,0,0,7,2,0,,0.5,,,,,,2,,,
SimpleGumtree,65,19,48,13,0,4,0,0,6,2,0,,0.7,,,,,,2,,,
SimpleGumtree,65,19,48,13,0,4,0,0,5,2,0,,0.899,,,,,,2,,,
SimpleGumtree,161,17,97,62,0,2,0,0,8,2,0,,0.1,,,,,,3,,,
SimpleGumtree,161,17,97,62,0,2,0,0,7,2,0,,0.3,,,,,,3,,,
SimpleGumtree,161,17,97,62,0,2,0,0,8,2,0,,0.5,,,,,,3,,,
SimpleGumtree,161,17,97,62,0,2,0,0,8,2,0,,0.7,,,,,,3,,,
SimpleGumtree,161,17,97,62,0,2,0,0,8,2,0,,0.899,,,,,,3,,,
SimpleGumtree,183,17,109,74,0,0,0,0,8,2,0,,0.1,,,,,,4,,,
SimpleGumtree,183,17,109,74,0,0,0,0,8,2,0,,0.3,,,,,,4,,,
SimpleGumtree,183,17,109,74,0,0,0,0,7,2,0,,0.5,,,,,,4,,,
SimpleGumtree,183,17,109,74,0,0,0,0,7,2,0,,0.7,,,,,,4,,,
SimpleGumtree,183,17,109,74,0,0,0,0,9,2,0,,0.899,,,,,,4,,,
SimpleGumtree,183,17,109,74,0,0,0,0,3,2,0,,0.1,,,,,,5,,,
SimpleGumtree,183,17,109,74,0,0,0,0,4,2,0,,0.3,,,,,,5,,,
SimpleGumtree,183,17,109,74,0,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,183,17,109,74,0,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,183,17,109,74,0,0,0,0,4,2,0,,0.899,,,,,,5,,,
ClassicGumtree,66,34,48,13,0,5,0,0,21,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,66,34,48,13,0,5,0,0,21,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,72,32,51,16,0,5,0,0,21,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,72,32,51,16,0,5,0,0,25,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,72,32,51,16,0,5,0,0,39,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,78,33,53,18,0,7,0,0,39,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,84,34,55,20,0,9,0,0,20,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,84,34,55,20,0,9,0,0,20,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,170,65,75,40,0,55,0,0,19,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,225,90,86,51,0,88,0,0,5,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,662,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,660,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,660,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,660,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,682,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,659,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,661,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,54,25,42,7,0,5,0,0,658,3,0,0.799,,200,,,,,1,,,
