MATCHER,NRACTIONS,NRROOTS,NR_INSERT,NR_DELETE,NR_UPDATE,NR_MOVE,NR_TREEINSERT,NR_TREEDELETE,TIME,NROPTIONS,TIMEOUT,GT_BUM_SMT,GT_BUM_SMT_SBUP,GT_BUM_SZT,GT_CD_LSIM,GT_CD_ML,GT_CD_SSIM1,GT_CD_SSIM2,GT_STM_MH,GT_XYM_SIM,GUMTREE_MATCH_GT_MINH,
SimpleGumtree,44,21,27,0,16,1,0,0,7,2,0,,0.1,,,,,,1,,,
SimpleGumtree,44,21,27,0,16,1,0,0,7,2,0,,0.3,,,,,,1,,,
SimpleGumtree,44,21,27,0,16,1,0,0,6,2,0,,0.5,,,,,,1,,,
SimpleGumtree,44,21,27,0,16,1,0,0,7,2,0,,0.7,,,,,,1,,,
SimpleGumtree,44,21,27,0,16,1,0,0,6,2,0,,0.899,,,,,,1,,,
SimpleGumtree,44,21,27,0,16,1,0,0,5,2,0,,0.1,,,,,,2,,,
SimpleGumtree,44,21,27,0,16,1,0,0,7,2,0,,0.3,,,,,,2,,,
SimpleGumtree,44,21,27,0,16,1,0,0,5,2,0,,0.5,,,,,,2,,,
SimpleGumtree,44,21,27,0,16,1,0,0,5,2,0,,0.7,,,,,,2,,,
SimpleGumtree,44,21,27,0,16,1,0,0,5,2,0,,0.899,,,,,,2,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.1,,,,,,3,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.3,,,,,,3,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.5,,,,,,3,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.7,,,,,,3,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.899,,,,,,3,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.1,,,,,,4,,,
SimpleGumtree,74,22,43,16,15,0,0,0,4,2,0,,0.3,,,,,,4,,,
SimpleGumtree,74,22,43,16,15,0,0,0,4,2,0,,0.5,,,,,,4,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.7,,,,,,4,,,
SimpleGumtree,74,22,43,16,15,0,0,0,5,2,0,,0.899,,,,,,4,,,
SimpleGumtree,179,16,99,72,8,0,0,0,4,2,0,,0.1,,,,,,5,,,
SimpleGumtree,179,16,99,72,8,0,0,0,3,2,0,,0.3,,,,,,5,,,
SimpleGumtree,179,16,99,72,8,0,0,0,3,2,0,,0.5,,,,,,5,,,
SimpleGumtree,179,16,99,72,8,0,0,0,3,2,0,,0.7,,,,,,5,,,
SimpleGumtree,179,16,99,72,8,0,0,0,4,2,0,,0.899,,,,,,5,,,
ClassicGumtree,127,28,72,45,9,1,0,0,16,3,0,0.1,,100,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,16,3,0,0.2,,100,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,15,3,0,0.3,,100,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,13,3,0,0.4,,100,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,11,3,0,0.5,,100,,,,,1,,,
ClassicGumtree,174,29,96,69,2,7,0,0,5,3,0,0.6,,100,,,,,1,,,
ClassicGumtree,187,34,102,75,0,10,0,0,5,3,0,0.7,,100,,,,,1,,,
ClassicGumtree,202,30,104,77,0,21,0,0,5,3,0,0.799,,100,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.899,,100,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.999,,100,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,15,3,0,0.1,,200,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,16,3,0,0.2,,200,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,14,3,0,0.3,,200,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,12,3,0,0.4,,200,,,,,1,,,
ClassicGumtree,127,28,72,45,9,1,0,0,11,3,0,0.5,,200,,,,,1,,,
ClassicGumtree,174,29,96,69,2,7,0,0,4,3,0,0.6,,200,,,,,1,,,
ClassicGumtree,187,34,102,75,0,10,0,0,4,3,0,0.7,,200,,,,,1,,,
ClassicGumtree,202,30,104,77,0,21,0,0,4,3,0,0.799,,200,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.899,,200,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,4,3,0,0.999,,200,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,187,3,0,0.1,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,187,3,0,0.2,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,186,3,0,0.3,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,185,3,0,0.4,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,183,3,0,0.5,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,177,3,0,0.6,,300,,,,,1,,,
ClassicGumtree,57,28,33,6,15,3,0,0,176,3,0,0.7,,300,,,,,1,,,
ClassicGumtree,202,30,104,77,0,21,0,0,4,3,0,0.799,,300,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.899,,300,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,4,3,0,0.999,,300,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,188,3,0,0.1,,400,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,188,3,0,0.2,,400,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,186,3,0,0.3,,400,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,182,3,0,0.4,,400,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,181,3,0,0.5,,400,,,,,1,,,
ClassicGumtree,48,25,29,2,16,1,0,0,174,3,0,0.6,,400,,,,,1,,,
ClassicGumtree,57,28,33,6,15,3,0,0,174,3,0,0.7,,400,,,,,1,,,
ClassicGumtree,202,30,104,77,0,21,0,0,5,3,0,0.799,,400,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.899,,400,,,,,1,,,
ClassicGumtree,251,62,109,82,0,60,0,0,5,3,0,0.999,,400,,,,,1,,,
